feature_set,encoding,T,max_spikes,epochs,lr,accuracy,balanced_accuracy,macro_f1,weighted_f1,n_predictions,config_id,n_features,n_subjects
all_7_norm,population,50,6,400,0.05,0.6944444444444444,0.6944444444444444,0.6909184726522187,0.6909184726522187,36,13,7,9
all_7_norm,population,75,6,400,0.05,0.6944444444444444,0.6944444444444444,0.6909184726522187,0.6909184726522187,36,16,7,9
all_7_norm,population,30,6,400,0.05,0.6944444444444444,0.6944444444444444,0.6909184726522187,0.6909184726522187,36,10,7,9
all_7_plus_symp_ratio,population,30,6,400,0.05,0.6666666666666666,0.6666666666666666,0.6615067079463365,0.6615067079463365,36,28,8,9
all_7_plus_symp_ratio,population,50,6,400,0.05,0.6666666666666666,0.6666666666666666,0.6615067079463365,0.6615067079463365,36,31,8,9
all_7_plus_symp_ratio,population,50,15,400,0.05,0.6666666666666666,0.6666666666666666,0.6594427244582044,0.6594427244582044,36,33,8,9
all_7_plus_symp_ratio,population,75,6,400,0.05,0.6666666666666666,0.6666666666666666,0.6615067079463365,0.6615067079463365,36,34,8,9
all_7_plus_symp_ratio,population,75,15,400,0.05,0.6666666666666666,0.6666666666666666,0.6594427244582044,0.6594427244582044,36,36,8,9
all_7_norm,population,75,15,400,0.05,0.6666666666666666,0.6666666666666666,0.6594427244582044,0.6594427244582044,36,18,7,9
all_7_norm,population,75,10,400,0.05,0.6666666666666666,0.6666666666666666,0.6594427244582044,0.6594427244582044,36,17,7,9
all_7_norm,population,50,15,400,0.05,0.6666666666666666,0.6666666666666666,0.6594427244582044,0.6594427244582044,36,15,7,9
all_7_norm,population,50,10,400,0.05,0.6666666666666666,0.6666666666666666,0.6594427244582044,0.6594427244582044,36,14,7,9
all_7_norm,population,30,15,400,0.05,0.6666666666666666,0.6666666666666666,0.6594427244582044,0.6594427244582044,36,12,7,9
all_7_norm,population,30,10,400,0.05,0.6666666666666666,0.6666666666666666,0.6594427244582044,0.6594427244582044,36,11,7,9
all_7_plus_symp_ratio,population,30,15,400,0.05,0.6666666666666666,0.6666666666666666,0.6594427244582044,0.6594427244582044,36,30,8,9
all_7_plus_symp_ratio,population,30,10,400,0.05,0.6388888888888888,0.6388888888888888,0.627375730994152,0.627375730994152,36,29,8,9
all_7_plus_symp_ratio,population,75,10,400,0.05,0.6388888888888888,0.6388888888888888,0.627375730994152,0.627375730994152,36,35,8,9
all_7_plus_symp_ratio,population,50,10,400,0.05,0.6388888888888888,0.6388888888888888,0.627375730994152,0.627375730994152,36,32,8,9
no_count_plus_symp_ratio,population,30,10,400,0.05,0.6111111111111112,0.6111111111111112,0.5929824561403508,0.5929824561403508,36,47,7,9
no_count_plus_symp_ratio,population,30,15,400,0.05,0.6111111111111112,0.6111111111111112,0.5929824561403508,0.5929824561403508,36,48,7,9
no_count_plus_symp_ratio,population,50,6,400,0.05,0.6111111111111112,0.6111111111111112,0.5929824561403508,0.5929824561403508,36,49,7,9
no_count_plus_symp_ratio,population,30,6,400,0.05,0.6111111111111112,0.6111111111111112,0.5929824561403508,0.5929824561403508,36,46,7,9
no_count_plus_symp_ratio,population,50,10,400,0.05,0.6111111111111112,0.6111111111111112,0.5929824561403508,0.5929824561403508,36,50,7,9
no_count_plus_symp_ratio,population,50,15,400,0.05,0.6111111111111112,0.6111111111111112,0.5929824561403508,0.5929824561403508,36,51,7,9
no_count_plus_symp_ratio,population,75,6,400,0.05,0.6111111111111112,0.6111111111111112,0.5929824561403508,0.5929824561403508,36,52,7,9
no_count_plus_symp_ratio,population,75,10,400,0.05,0.6111111111111112,0.6111111111111112,0.5929824561403508,0.5929824561403508,36,53,7,9
no_count_plus_symp_ratio,population,75,15,400,0.05,0.6111111111111112,0.6111111111111112,0.5929824561403508,0.5929824561403508,36,54,7,9
all_7_norm,rate,30,15,400,0.05,0.6111111111111112,0.611111111111111,0.577922077922078,0.577922077922078,36,2,7,9
all_7_norm,rate,50,15,400,0.05,0.6111111111111112,0.611111111111111,0.577922077922078,0.577922077922078,36,5,7,9
all_7_norm,rate,75,15,400,0.05,0.6111111111111112,0.611111111111111,0.577922077922078,0.577922077922078,36,8,7,9
all_7_norm,rate,75,20,400,0.05,0.5833333333333334,0.5833333333333333,0.5316080977845683,0.5316080977845684,36,9,7,9
all_7_norm,rate,30,20,400,0.05,0.5833333333333334,0.5833333333333333,0.5316080977845683,0.5316080977845684,36,3,7,9
all_7_norm,rate,50,10,400,0.05,0.5833333333333334,0.5833333333333333,0.5316080977845683,0.5316080977845684,36,4,7,9
all_7_norm,rate,50,20,400,0.05,0.5833333333333334,0.5833333333333333,0.5316080977845683,0.5316080977845684,36,6,7,9
all_7_norm,rate,75,10,400,0.05,0.5833333333333334,0.5833333333333333,0.5316080977845683,0.5316080977845684,36,7,7,9
all_7_norm,rate,30,10,400,0.05,0.5833333333333334,0.5833333333333333,0.5316080977845683,0.5316080977845684,36,1,7,9
no_count_plus_symp_ratio,rate,30,10,400,0.05,0.5555555555555556,0.5555555555555556,0.4863095238095238,0.48630952380952386,36,37,7,9
no_count_plus_symp_ratio,rate,50,10,400,0.05,0.5555555555555556,0.5555555555555556,0.4863095238095238,0.48630952380952386,36,40,7,9
no_count_plus_symp_ratio,rate,75,10,400,0.05,0.5555555555555556,0.5555555555555556,0.4863095238095238,0.48630952380952386,36,43,7,9
no_count_plus_symp_ratio,rate,75,20,400,0.05,0.5277777777777778,0.5277777777777778,0.46855590062111796,0.468555900621118,36,45,7,9
all_7_plus_symp_ratio,rate,75,15,400,0.05,0.5277777777777778,0.5277777777777778,0.48003246753246753,0.48003246753246753,36,26,8,9
all_7_plus_symp_ratio,rate,50,15,400,0.05,0.5277777777777778,0.5277777777777778,0.48003246753246753,0.48003246753246753,36,23,8,9
all_7_plus_symp_ratio,rate,30,15,400,0.05,0.5277777777777778,0.5277777777777778,0.48003246753246753,0.48003246753246753,36,20,8,9
no_count_plus_symp_ratio,rate,30,15,400,0.05,0.5277777777777778,0.5277777777777778,0.46855590062111796,0.468555900621118,36,38,7,9
no_count_plus_symp_ratio,rate,50,15,400,0.05,0.5277777777777778,0.5277777777777778,0.46855590062111796,0.468555900621118,36,41,7,9
no_count_plus_symp_ratio,rate,75,15,400,0.05,0.5277777777777778,0.5277777777777778,0.46855590062111796,0.468555900621118,36,44,7,9
no_count_plus_symp_ratio,rate,50,20,400,0.05,0.5277777777777778,0.5277777777777778,0.46855590062111796,0.468555900621118,36,42,7,9
no_count_plus_symp_ratio,rate,30,20,400,0.05,0.5277777777777778,0.5277777777777778,0.46855590062111796,0.468555900621118,36,39,7,9
all_7_plus_symp_ratio,rate,30,20,400,0.05,0.5277777777777778,0.5277777777777777,0.4738095238095238,0.4738095238095238,36,21,8,9
all_7_plus_symp_ratio,rate,75,20,400,0.05,0.5277777777777778,0.5277777777777777,0.4738095238095238,0.4738095238095238,36,27,8,9
all_7_plus_symp_ratio,rate,50,20,400,0.05,0.5277777777777778,0.5277777777777777,0.4738095238095238,0.4738095238095238,36,24,8,9
all_7_plus_symp_ratio,rate,50,10,400,0.05,0.5,0.5,0.44064171122994655,0.44064171122994655,36,22,8,9
all_7_plus_symp_ratio,rate,75,10,400,0.05,0.5,0.5,0.44064171122994655,0.44064171122994655,36,25,8,9
all_7_plus_symp_ratio,rate,30,10,400,0.05,0.5,0.5,0.44064171122994655,0.44064171122994655,36,19,8,9
